"Seniority","Home","Time","Age","Marital","Records","Job","Expenses","Income","Assets","Debt","Amount","Price","Class"
0,"owner",36,23,"single","no","partime",45,122,2500,0,400,400,"positive"
14,"priv",24,51,"married","no","partime",75,198,1000,0,450,650,"negative"
10,"owner",36,39,"married","no","freelance",75,150,3000,0,1000,1394,"negative"
12,"parents",36,35,"single","no","fixed",35,170,0,0,1100,1542,"negative"
32,"owner",24,62,"married","no","freelance",45,119,8500,0,700,1200,"negative"
10,"owner",24,56,"married","no","freelance",45,208,13500,0,500,1560,"negative"
7,"owner",48,32,"married","no","fixed",75,115,3000,0,800,1200,"negative"
1,"rent",54,36,"married","no","fixed",70,99,0,0,950,950,"positive"
30,"owner",60,64,"married","no","fixed",45,120,14000,0,1125,1300,"negative"
5,"rent",48,31,"single","no","fixed",44,90,0,0,1300,1700,"positive"
24,"owner",60,42,"married","no","fixed",75,137,4000,0,900,1167,"negative"
0,"owner",60,61,"widow","no","others",35,230,50000,0,950,1150,"negative"
0,"owner",60,32,"married","yes","fixed",45,142,7000,3000,1250,1566,"positive"
2,"owner",60,43,"married","no","partime",75,71,3000,0,1500,1552,"positive"
1,"parents",60,26,"single","no","partime",35,120,0,0,1150,1300,"negative"
1,"owner",60,49,"widow","no","freelance",35,233,15900,4500,2100,2104,"negative"
15,"owner",36,47,"married","no","fixed",75,289,3500,0,1500,2154,"negative"
2,"rent",36,27,"separated","no","fixed",48,128,0,0,450,545,"positive"
25,"owner",36,52,"married","no","freelance",60,150,15000,0,750,1778,"negative"
8,"owner",60,28,"married","no","fixed",60,145,4000,1000,1600,1718,"negative"
5,"owner",60,31,"married","no","fixed",75,90,4000,0,900,1500,"negative"
0,"rent",60,32,"married","no","fixed",105,301,0,0,1200,1274,"negative"
5,"owner",36,51,"married","no","freelance",75,200,2100,1200,900,1015,"negative"
3,"parents",12,37,"married","no","freelance",60,150,500,0,500,1701,"negative"
1,"rent",48,29,"married","yes","freelance",85,100,0,0,1000,1345,"positive"
7,"parents",60,26,"single","no","fixed",35,100,0,0,1000,1238,"negative"
4,"parents",30,27,"single","no","fixed",45,100,5000,0,500,1048,"negative"
6,"owner",24,63,"married","no","fixed",60,155,4000,0,600,1048,"negative"
14,"owner",24,55,"married","no","fixed",90,715,5000,0,800,1324,"negative"
3,"rent",60,28,"married","no","fixed",70,245,0,0,1830,2201,"negative"
8,"rent",48,31,"married","no","fixed",90,150,0,0,1100,1430,"negative"
4,"parents",42,27,"single","no","fixed",35,70,0,0,600,926,"positive"
22,"owner",24,40,"married","no","fixed",75,190,3000,0,1000,1500,"negative"
2,"owner",36,35,"married","no","fixed",75,152,3000,0,1000,1542,"negative"
15,"priv",60,43,"married","no","fixed",75,126,3000,0,1350,1360,"negative"
10,"owner",18,34,"married","no","freelance",75,181,4000,0,600,1000,"negative"
4,"owner",60,37,"married","no","fixed",60,185,3000,0,1200,1564,"negative"
9,"owner",60,53,"married","no","fixed",45,170,2500,0,850,1205,"negative"
22,"rent",60,46,"married","no","fixed",93,176,7500,0,2000,2200,"negative"
18,"parents",36,36,"married","no","freelance",60,238,0,0,900,2214,"negative"
1,"priv",60,46,"married","no","fixed",60,115,5500,800,1000,1137,"negative"
14,"owner",48,43,"married","no","fixed",45,200,9000,0,600,1025,"negative"
8,"owner",36,31,"married","yes","freelance",75,411,9000,4000,800,1593,"negative"
5,"owner",24,43,"married","no","fixed",75,93,3000,0,700,1735,"negative"
19,"rent",60,38,"married","no","fixed",86,108,0,0,1000,1132,"negative"
14,"owner",12,37,"married","no","freelance",90,500,4000,0,500,1338,"negative"
0,"other",36,46,"married","yes","others",45,45,0,0,900,1100,"negative"
9,"rent",36,55,"married","no","fixed",70,250,30000,0,1750,2276,"negative"
29,"owner",48,56,"married","no","fixed",45,100,3000,0,900,1360,"negative"
10,"owner",36,55,"married","no","fixed",60,70,4000,0,1000,1436,"negative"
10,"parents",36,52,"married","no","fixed",60,150,0,0,550,612,"negative"
1,"owner",36,29,"married","no","fixed",60,70,4500,0,850,1100,"positive"
11,"owner",60,39,"divorced","yes","fixed",35,263,2500,0,1000,1300,"negative"
10,"owner",60,38,"married","no","freelance",75,200,9000,0,1000,2089,"negative"
5,"owner",24,24,"single","no","fixed",35,78,6000,3000,500,2262,"negative"
10,"rent",60,28,"single","no","fixed",47,120,0,0,600,1054,"negative"
27,"owner",60,53,"married","no","fixed",60,125,10000,0,1426,1426,"negative"
0,"rent",60,25,"single","no","partime",40,50,0,0,1040,1048,"positive"
25,"rent",60,62,"married","no","fixed",60,146,0,0,1000,1292,"positive"
3,"parents",60,29,"single","no","fixed",35,70,0,0,950,1177,"negative"
9,"parents",60,32,"single","yes","fixed",35,105,0,0,1490,1490,"positive"
4,"rent",36,21,"married","no","freelance",101,413,6000,0,750,850,"negative"
6,"rent",36,38,"married","no","freelance",95,500,25000,21400,800,1011,"negative"
9,"rent",48,56,"married","no","freelance",140,350,0,0,1400,1571,"negative"
3,"owner",36,41,"married","no","freelance",75,200,3000,0,1000,1000,"negative"
22,"other",36,46,"married","no","fixed",45,138,0,0,250,270,"positive"
3,"owner",60,54,"widow","no","others",35,80,4000,0,950,1382,"negative"
30,"owner",36,51,"married","no","freelance",120,208,15000,0,1500,1713,"negative"
8,"rent",60,52,"married","no","fixed",89,137,4000,0,800,1086,"negative"
38,"owner",48,57,"married","no","freelance",45,58,12000,0,1500,3262,"negative"
2,"rent",60,33,"married","no","fixed",73,130,0,0,1100,1610,"negative"
4,"owner",60,33,"married","no","fixed",75,123,6000,1000,600,1030,"negative"
0,"rent",36,29,"married","no","partime",78,180,0,0,650,650,"positive"
2,"other",48,23,"single","no","fixed",35,140,0,0,1950,2175,"positive"
8,"owner",24,33,"married","no","fixed",75,315,4500,0,400,1780,"negative"
1,"rent",36,24,"married","no","partime",76,164,0,0,900,950,"positive"
6,"parents",60,28,"married","no","freelance",90,325,7000,0,1200,1211,"positive"
5,"owner",60,27,"married","no","fixed",45,135,5000,1400,1600,1650,"negative"
13,"parents",36,33,"single","no","fixed",35,109,0,0,350,350,"positive"
11,"rent",60,32,"married","no","fixed",79,185,0,0,950,1117,"negative"
10,"owner",24,39,"married","no","fixed",45,217,9000,3000,1500,2468,"negative"
20,"owner",60,51,"married","no","freelance",90,300,12500,2500,1340,1740,"positive"
13,"owner",48,29,"married","no","fixed",60,253,3000,0,670,963,"negative"
2,"owner",36,32,"married","no","fixed",75,101,1500,400,1200,1646,"positive"
3,"owner",36,40,"married","yes","freelance",35,200,10000,0,800,800,"positive"
12,"owner",36,47,"married","no","fixed",75,124,3500,0,460,470,"negative"
20,"owner",24,66,"married","no","fixed",45,143,10000,0,950,1370,"negative"
3,"priv",48,39,"separated","no","freelance",35,250,4000,1500,700,839,"negative"
27,"owner",60,50,"married","no","fixed",75,135,5500,1000,600,1346,"negative"
4,"rent",60,25,"married","no","fixed",57,115,0,0,900,1350,"negative"
1,"owner",60,27,"married","no","partime",75,160,4000,3000,1800,2100,"positive"
18,"rent",60,54,"married","no","fixed",66,214,0,0,1300,1307,"negative"
12,"rent",60,42,"married","no","fixed",114,390,0,0,1100,1126,"negative"
12,"owner",48,35,"separated","no","freelance",45,500,200000,0,2380,4786,"negative"
0,"parents",60,23,"single","no","partime",35,95,0,0,1400,1478,"positive"
12,"owner",60,52,"married","no","fixed",75,200,12000,0,1550,1568,"negative"
0,"parents",24,22,"single","no","partime",35,85,0,0,650,1056,"negative"
10,"other",18,48,"married","no","fixed",90,214,0,0,1000,1608,"negative"
2,"owner",60,25,"married","no","fixed",75,140,3000,0,950,1179,"negative"
10,"other",60,26,"married","no","fixed",45,60,0,0,1400,1524,"positive"
8,"owner",60,28,"married","no","fixed",75,180,4000,0,1300,1730,"negative"
20,"owner",30,62,"married","no","freelance",60,300,24000,9000,600,823,"negative"
0,"rent",60,33,"married","no","freelance",65,200,0,0,700,800,"negative"
16,"parents",60,41,"married","no","fixed",75,242,0,0,1300,1482,"negative"
4,"owner",60,29,"married","no","partime",60,155,5000,2500,900,1110,"negative"
1,"rent",60,37,"single","no","fixed",45,100,0,0,1150,1555,"positive"
0,"owner",60,31,"married","no","fixed",60,105,3500,0,1100,1170,"negative"
15,"owner",12,50,"married","no","freelance",45,166,2000,0,500,886,"negative"
13,"rent",60,42,"separated","yes","fixed",47,120,0,0,800,1395,"positive"
19,"owner",36,33,"married","no","fixed",60,115,6700,2000,1000,2084,"negative"
15,"owner",24,54,"married","no","freelance",90,350,150000,0,3800,8800,"negative"
9,"rent",60,40,"married","no","fixed",119,442,6000,1947,900,1211,"negative"
12,"parents",60,31,"separated","yes","fixed",35,101,0,0,1300,1300,"positive"
0,"owner",36,35,"married","yes","fixed",105,122,5200,2000,850,850,"positive"
14,"owner",60,64,"married","no","freelance",60,250,10000,0,700,1204,"negative"
10,"parents",24,29,"single","no","freelance",35,90,0,0,600,1528,"negative"
2,"owner",48,33,"married","no","fixed",45,160,6000,0,1200,1298,"negative"
15,"owner",18,35,"married","no","freelance",60,300,4000,0,300,600,"negative"
1,"parents",48,28,"single","no","fixed",35,83,0,0,1000,1320,"positive"
0,"other",60,25,"married","no","partime",60,60,0,0,1300,1380,"positive"
0,"parents",60,23,"single","no","partime",35,205,0,0,1400,1426,"positive"
3,"owner",24,30,"married","no","freelance",75,133,12000,900,1500,5200,"negative"
8,"rent",36,36,"married","no","fixed",78,179,0,0,900,1503,"negative"
5,"other",60,22,"single","no","fixed",45,195,0,0,700,1422,"negative"
9,"owner",24,45,"married","no","fixed",75,112,4000,0,500,1430,"negative"
4,"owner",30,47,"married","no","freelance",90,210,15000,0,1550,1578,"negative"
14,"priv",48,36,"married","no","fixed",75,155,3500,200,1100,1250,"negative"
3,"owner",36,36,"single","yes","freelance",35,394,16000,0,1500,2260,"negative"
22,"rent",36,60,"married","no","fixed",60,149,0,0,200,280,"negative"
20,"rent",48,59,"married","no","fixed",57,120,0,0,800,1298,"negative"
6,"owner",48,58,"married","yes","freelance",60,400,86000,0,930,945,"positive"
23,"owner",12,37,"married","no","fixed",45,165,5000,0,900,1694,"negative"
5,"owner",36,32,"married","no","freelance",75,125,6000,0,600,700,"positive"
8,"rent",48,26,"single","no","fixed",42,74,0,0,600,1290,"negative"
5,"owner",60,40,"married","no","fixed",75,86,4900,0,1300,1581,"negative"
20,"owner",48,55,"married","no","fixed",45,185,5000,0,1000,1383,"negative"
11,"rent",60,30,"married","no","fixed",77,165,0,0,1350,1637,"negative"
25,"parents",54,43,"married","no","fixed",75,110,7000,0,1275,1275,"negative"
2,"rent",60,28,"married","no","fixed",74,138,0,0,1400,1400,"positive"
20,"owner",24,47,"married","no","freelance",75,300,5000,0,600,832,"negative"
9,"owner",36,29,"single","no","fixed",35,147,3500,0,1886,2886,"negative"
18,"parents",60,34,"married","no","fixed",60,112,6550,0,600,1346,"negative"
20,"owner",60,53,"married","yes","freelance",75,350,6500,0,800,1138,"negative"
6,"owner",12,44,"married","no","fixed",45,110,15000,0,300,1801,"negative"
0,"owner",48,49,"married","no","partime",45,75,2000,0,900,1200,"positive"
0,"rent",36,51,"married","no","fixed",113,230,0,0,950,950,"negative"
14,"ignore",60,34,"married","no","fixed",75,85,8000,0,1400,1589,"negative"
10,"owner",48,42,"married","no","freelance",75,210,4000,120,1200,1617,"negative"
19,"owner",60,34,"married","no","fixed",75,125,5000,0,1200,1200,"negative"
11,"owner",60,46,"married","no","fixed",75,149,3500,0,1400,2194,"negative"
1,"owner",48,31,"married","no","fixed",75,201,2500,96,1100,1642,"negative"
13,"other",60,31,"married","no","fixed",60,105,0,0,1200,1423,"positive"
4,"rent",12,33,"married","no","fixed",78,183,0,0,600,1600,"negative"
9,"rent",24,30,"single","yes","fixed",46,113,0,0,700,700,"positive"
1,"owner",24,27,"married","no","fixed",45,126,3000,3700,200,300,"negative"
4,"owner",36,48,"married","no","freelance",120,300,5000,0,1000,1165,"negative"
2,"owner",60,33,"married","no","fixed",75,160,6000,0,1000,1365,"negative"
2,"owner",12,44,"married","no","fixed",90,160,7500,0,500,1706,"negative"
21,"owner",60,57,"married","no","freelance",60,95,8000,0,1000,1700,"negative"
12,"owner",60,34,"married","yes","fixed",75,125,5500,4000,950,1462,"negative"
9,"rent",60,38,"married","no","fixed",87,120,0,0,1177,1300,"negative"
2,"rent",36,35,"married","no","fixed",126,359,0,0,870,1122,"negative"
24,"owner",60,52,"married","no","fixed",45,80,4000,0,1200,1257,"negative"
1,"parents",60,28,"single","no","partime",35,67,0,0,1050,1387,"negative"
15,"owner",48,46,"married","no","fixed",90,148,12000,0,1000,1266,"negative"
19,"owner",60,56,"married","yes","fixed",45,298,8000,0,1700,2195,"negative"
10,"owner",24,52,"married","no","fixed",75,318,4500,700,700,2004,"negative"
19,"owner",60,35,"married","no","fixed",75,185,4000,0,1100,1203,"negative"
4,"parents",48,29,"married","no","fixed",45,194,0,0,1200,1374,"negative"
1,"parents",60,22,"single","no","fixed",35,80,3000,0,1500,1514,"positive"
2,"owner",24,33,"married","yes","fixed",75,147,2000,900,400,750,"negative"
5,"owner",24,41,"married","no","freelance",105,156,10000,0,800,1894,"negative"
11,"owner",36,37,"married","no","fixed",75,178,3000,0,1000,1048,"negative"
23,"owner",24,46,"married","no","fixed",75,130,4000,0,400,1369,"negative"
4,"other",36,19,"single","no","partime",35,63,0,0,1000,1035,"positive"
5,"parents",36,22,"single","no","fixed",35,88,0,0,750,1218,"positive"
15,"parents",60,31,"married","no","fixed",45,140,0,0,1200,1637,"negative"
1,"priv",60,44,"married","no","partime",45,115,2000,0,750,953,"positive"
9,"owner",60,48,"married","yes","fixed",60,83,2500,0,1100,1212,"negative"
4,"priv",36,31,"married","no","fixed",60,144,3000,0,1000,1218,"negative"
20,"owner",24,53,"married","no","freelance",45,200,100000,0,1000,1419,"negative"
10,"other",60,36,"married","no","fixed",90,172,3000,0,1100,1100,"negative"
2,"priv",60,46,"married","no","freelance",105,200,4000,500,900,987,"negative"
15,"owner",60,37,"married","no","fixed",60,318,7000,0,1900,2400,"negative"
8,"owner",60,34,"married","no","fixed",60,177,6300,4000,1370,1375,"negative"
4,"owner",48,36,"married","no","fixed",60,133,4000,0,1000,1595,"negative"
4,"owner",60,64,"single","no","others",35,150,9000,0,984,1054,"negative"
1,"owner",36,27,"single","no","fixed",35,208,9000,0,1000,1651,"negative"
10,"owner",30,26,"married","no","fixed",75,145,1434,0,300,1542,"negative"
32,"owner",60,53,"married","no","fixed",60,157,5000,0,2000,2014,"negative"
12,"owner",60,50,"married","no","fixed",45,190,9500,200,1800,2624,"negative"
0,"parents",60,21,"single","no","partime",35,86,0,0,1000,1135,"positive"
20,"parents",24,40,"single","no","fixed",35,90,0,0,600,1105,"negative"
6,"rent",60,49,"married","yes","partime",100,100,30000,0,1500,1500,"negative"
4,"rent",24,40,"married","yes","fixed",56,214,0,0,800,1200,"positive"
1,"rent",60,37,"single","no","fixed",45,100,0,0,1150,1555,"negative"
2,"rent",48,25,"married","no","fixed",57,117,0,0,800,2251,"negative"
25,"owner",18,40,"married","no","fixed",45,110,4000,0,455,1542,"negative"
1,"rent",36,22,"married","no","fixed",62,168,0,0,1200,2186,"negative"
10,"owner",48,49,"married","no","freelance",45,150,9000,0,1700,1700,"negative"
2,"owner",60,34,"married","no","fixed",45,166,7000,0,600,1180,"negative"
20,"owner",36,42,"married","no","freelance",90,250,4500,0,1500,1750,"negative"
10,"owner",48,28,"married","yes","partime",60,120,2500,1500,600,875,"negative"
1,"owner",60,30,"married","no","freelance",35,236,3500,1000,1000,1514,"negative"
1,"owner",60,25,"separated","yes","partime",45,277,6000,3500,1700,1950,"positive"
0,"parents",60,22,"single","no","partime",35,55,0,0,950,1462,"positive"
5,"parents",36,27,"single","no","fixed",35,200,4000,0,600,1098,"negative"
3,"parents",60,26,"single","no","fixed",45,235,0,0,800,840,"negative"
0,"owner",48,28,"married","no","fixed",45,80,1500,0,1260,1634,"positive"
6,"owner",48,35,"married","no","freelance",45,200,7000,0,1540,1603,"negative"
21,"priv",60,51,"married","no","fixed",45,140,3000,0,1200,1200,"negative"
5,"rent",60,24,"married","no","fixed",73,125,0,0,700,1360,"negative"
12,"rent",60,34,"married","no","fixed",94,185,0,0,1200,1236,"negative"
13,"owner",42,34,"married","no","fixed",105,190,2500,300,1100,1395,"negative"
10,"owner",60,49,"married","no","freelance",60,150,23000,0,1200,1390,"negative"
6,"owner",60,28,"married","no","fixed",60,102,5000,0,700,1355,"negative"
18,"rent",60,57,"married","no","fixed",77,170,4000,0,1300,1604,"negative"
15,"owner",60,63,"married","no","fixed",60,315,3500,266,1000,1241,"negative"
0,"rent",12,37,"married","no","others",88,130,0,0,250,375,"positive"
2,"owner",36,27,"married","no","fixed",45,156,6000,0,700,1045,"negative"
18,"rent",60,39,"married","no","fixed",93,177,0,0,800,1781,"negative"
12,"owner",36,64,"single","yes","freelance",60,341,4500,0,900,900,"negative"
25,"owner",48,49,"married","no","freelance",105,240,12000,4200,1660,1698,"negative"
8,"owner",12,49,"married","no","freelance",60,142,6000,0,200,1048,"negative"
20,"owner",36,45,"married","no","freelance",75,333,5000,0,1000,2200,"negative"
3,"parents",60,27,"single","no","fixed",35,125,5000,0,770,1119,"negative"
2,"parents",36,30,"married","no","fixed",45,170,0,0,700,1090,"negative"
2,"owner",36,33,"married","no","freelance",75,220,16000,500,3000,4100,"positive"
15,"owner",36,40,"married","no","fixed",60,230,8500,480,700,1400,"negative"
3,"owner",60,30,"separated","no","fixed",60,157,15000,0,1000,2010,"negative"
4,"parents",12,30,"married","no","fixed",60,340,16000,0,1900,2014,"negative"
3,"owner",60,25,"married","no","partime",60,120,3500,200,1000,1342,"negative"
9,"rent",60,40,"single","no","fixed",44,91,0,0,1000,1132,"negative"
4,"priv",42,50,"married","no","freelance",60,150,7000,0,900,1048,"positive"
2,"owner",36,23,"single","no","fixed",35,88,5500,0,750,1218,"negative"
1,"other",48,28,"single","no","partime",35,120,0,0,900,1114,"negative"
2,"rent",60,27,"married","no","fixed",56,106,0,0,650,2132,"negative"
2,"parents",36,19,"married","no","fixed",35,162,4000,100,400,570,"negative"
3,"parents",60,39,"married","no","fixed",45,77,0,0,1000,1094,"negative"
8,"priv",36,39,"married","no","fixed",75,128,2500,0,550,550,"negative"
10,"owner",48,55,"widow","no","fixed",35,189,9000,0,1200,1255,"negative"
10,"owner",36,32,"married","no","freelance",60,300,40000,3000,2000,4138,"negative"
5,"owner",60,54,"married","no","freelance",60,92,6000,1700,1700,1714,"negative"
20,"owner",48,58,"married","no","freelance",60,380,35000,0,1100,1150,"negative"
5,"owner",24,37,"married","no","freelance",75,500,14000,0,1500,2673,"negative"
20,"parents",60,36,"married","no","freelance",60,130,0,0,1200,1630,"negative"
12,"owner",60,28,"married","no","fixed",45,141,6000,400,1100,1544,"negative"
13,"owner",60,38,"married","no","fixed",75,220,6500,3600,1000,1195,"negative"
11,"owner",36,26,"married","no","fixed",60,146,5000,1300,400,1206,"negative"
17,"owner",60,41,"married","no","freelance",75,250,13500,3700,1400,2050,"negative"
6,"owner",36,42,"married","no","fixed",60,132,6000,0,1200,1513,"negative"
22,"owner",6,46,"married","no","freelance",90,150,75000,0,3000,3300,"negative"
25,"rent",60,52,"married","no","fixed",73,127,0,0,1030,1250,"negative"
8,"owner",60,30,"married","no","partime",60,90,3000,500,1000,1339,"positive"
19,"owner",60,47,"married","yes","freelance",90,166,12500,1000,875,875,"positive"
3,"owner",18,66,"married","no","others",45,69,12000,0,500,1101,"negative"
35,"owner",60,54,"married","no","fixed",45,182,4000,0,1000,1568,"negative"
0,"owner",42,65,"married","no","others",45,77,4000,2000,750,1194,"negative"
7,"other",60,25,"married","no","fixed",45,50,0,0,950,1378,"positive"
3,"owner",60,31,"single","no","fixed",35,131,4000,0,1050,1139,"negative"
1,"parents",24,23,"single","no","fixed",35,62,0,0,350,350,"negative"
5,"owner",60,35,"married","no","fixed",75,60,3000,400,1150,1406,"positive"
2,"owner",60,47,"married","no","fixed",90,86,4500,0,1200,1497,"negative"
13,"rent",36,28,"married","no","fixed",59,143,0,0,1400,1600,"positive"
27,"rent",60,50,"married","yes","fixed",87,120,0,0,1300,1350,"positive"
3,"other",60,25,"single","no","fixed",35,283,0,0,2000,2032,"positive"
0,"owner",36,39,"married","no","fixed",60,138,3000,0,1400,2610,"negative"
1,"priv",12,46,"married","no","others",90,90,2000,600,500,1193,"negative"
1,"rent",60,36,"married","yes","fixed",85,99,0,0,1200,1275,"positive"
10,"owner",36,39,"married","yes","freelance",75,160,15000,0,3250,3750,"positive"
1,"owner",60,25,"married","no","partime",60,330,9000,3500,1300,2500,"negative"
6,"owner",36,49,"married","no","freelance",60,100,22000,0,1000,1790,"negative"
3,"rent",48,52,"married","no","fixed",96,210,0,0,1400,1419,"positive"
10,"rent",30,34,"separated","no","fixed",45,100,0,0,700,1480,"negative"
0,"owner",36,24,"single","no","partime",45,97,8000,0,600,1542,"negative"
6,"owner",48,24,"married","no","fixed",45,227,3000,0,600,1380,"negative"
5,"owner",42,33,"married","yes","fixed",45,140,22000,2500,1200,1888,"negative"
1,"rent",48,31,"married","no","fixed",87,115,0,0,1100,1672,"positive"
37,"owner",48,63,"married","no","fixed",60,150,3500,0,700,808,"negative"
1,"parents",60,23,"single","no","fixed",35,90,0,0,1100,1107,"positive"
40,"owner",42,61,"married","no","fixed",90,275,12000,0,1000,1335,"negative"
5,"parents",60,28,"single","no","fixed",35,176,0,0,1190,1390,"negative"
11,"rent",60,58,"married","no","fixed",71,110,3000,0,1150,1363,"negative"
23,"owner",60,41,"married","no","fixed",75,140,3000,0,1450,1482,"negative"
23,"owner",60,38,"married","no","fixed",45,500,3500,0,1900,2357,"negative"
5,"owner",60,27,"married","no","fixed",75,66,3000,0,600,850,"positive"
5,"owner",48,40,"married","no","freelance",75,145,6000,0,825,1617,"negative"
31,"owner",60,59,"married","no","fixed",60,67,6500,0,1080,1114,"negative"
10,"owner",60,38,"married","yes","fixed",90,80,3000,1749,1030,1095,"positive"
8,"other",60,28,"married","no","fixed",45,200,0,0,700,1529,"negative"
2,"owner",36,49,"married","yes","freelance",75,154,14000,0,850,1263,"negative"
3,"priv",48,38,"married","no","freelance",90,187,2500,750,1550,1600,"negative"
35,"owner",48,52,"married","no","fixed",60,135,5000,0,1200,1400,"positive"
3,"owner",48,37,"widow","no","fixed",45,160,6000,3000,1000,1520,"negative"
25,"owner",60,42,"married","no","fixed",60,133,9500,0,1500,1617,"negative"
8,"rent",60,54,"married","no","freelance",173,230,5000,0,1100,1500,"negative"
2,"owner",60,30,"married","no","fixed",60,154,3000,0,1000,1705,"negative"
2,"owner",30,26,"married","no","fixed",60,50,3500,250,600,1292,"negative"
17,"owner",48,49,"married","no","freelance",60,189,7000,0,1100,1294,"negative"
3,"owner",60,36,"married","no","fixed",60,202,4600,1260,1400,1936,"negative"
4,"parents",48,40,"married","no","freelance",90,20,0,0,1850,2143,"positive"
0,"owner",12,61,"married","no","others",60,40,4000,0,170,1394,"positive"
2,"rent",24,59,"married","no","fixed",110,50,0,0,200,425,"positive"
2,"owner",48,49,"married","no","fixed",45,125,4000,0,500,1600,"negative"
30,"rent",60,52,"married","no","freelance",70,100,14500,0,1250,1563,"negative"
11,"owner",60,35,"married","no","fixed",60,115,4000,75,1250,1284,"negative"
5,"ignore",60,25,"married","no","fixed",75,160,1000,0,890,990,"positive"
14,"owner",60,30,"married","no","fixed",60,70,4000,2800,600,1125,"negative"
8,"owner",48,28,"married","no","fixed",35,220,4000,0,1000,1267,"negative"
1,"owner",6,29,"single","no","freelance",35,107,2000,0,300,1298,"negative"
6,"owner",60,32,"married","no","fixed",75,160,2200,600,1550,1600,"positive"
9,"owner",60,45,"married","no","fixed",75,150,3000,0,1100,1340,"negative"
3,"owner",60,26,"married","no","partime",45,120,6100,1500,1000,1403,"positive"
3,"owner",60,33,"married","yes","freelance",75,225,2000,0,1400,1980,"negative"
1,"parents",60,21,"single","no","freelance",35,100,0,0,900,1290,"negative"
0,"owner",36,34,"married","no","partime",75,80,4500,300,600,1339,"positive"
6,"owner",60,27,"single","no","fixed",35,208,6000,3300,1500,1559,"negative"
21,"owner",60,44,"married","no","fixed",90,105,1150,720,200,1078,"positive"
17,"owner",60,51,"married","no","fixed",60,98,4000,0,860,1113,"negative"
7,"rent",18,33,"married","no","fixed",113,532,0,0,1000,2290,"negative"
10,"owner",60,35,"married","no","fixed",60,140,4000,0,1000,1578,"negative"
2,"owner",48,38,"married","no","fixed",75,90,7000,2000,500,1039,"negative"
0,"rent",60,28,"married","no","fixed",76,155,0,0,800,1218,"negative"
2,"owner",60,26,"married","no","fixed",45,120,3500,0,300,1329,"negative"
10,"owner",36,34,"married","no","fixed",90,159,3000,250,300,500,"negative"
6,"owner",60,27,"married","no","fixed",45,122,2000,1000,1300,1384,"negative"
7,"owner",60,32,"married","no","partime",75,156,3500,0,1300,1553,"positive"
18,"owner",48,43,"single","no","fixed",35,90,2500,0,1000,1626,"negative"
3,"owner",18,30,"single","no","partime",35,130,5000,0,1100,1674,"negative"
6,"owner",18,42,"married","no","freelance",90,45,4000,34,200,1500,"negative"
0,"rent",36,26,"married","no","partime",72,118,1000,0,600,1421,"negative"
0,"owner",24,20,"single","no","others",60,152,2000,0,400,480,"positive"
8,"rent",48,24,"single","no","fixed",49,135,0,0,1000,1274,"negative"
